date,Unit,Estimated NAV after Trading Team Carry,NAV per unit,PNL per unit,ETH haircut,fund,Date
2024-12-31,75.0,77.4336,1.0324482,0.0,,binggan,2024-12-31
2025-01-01,75.0,77.4336,1.0324482,0.0,,binggan,2025-01-01
2025-01-02,75.0,77.4336,1.0324482,0.0,,binggan,2025-01-02
2025-01-03,75.0,77.4336,1.0324482,0.0,,binggan,2025-01-03
2025-01-04,75.0,77.4336,1.0324482,0.0,,binggan,2025-01-04
2025-01-05,75.0,77.4336,1.0324482,0.0,,binggan,2025-01-05
2025-01-06,75.0,77.4336,1.0324482,0.0,,binggan,2025-01-06
2025-01-07,75.0,77.4336,1.0324482,0.0,,binggan,2025-01-07
2025-01-08,75.0,77.4336,1.0324482,0.0,,binggan,2025-01-08
2025-01-09,75.0,77.4336,1.0324482,0.0,,binggan,2025-01-09
2025-01-10,72.64,75.0629,1.033358756,0.0,,binggan,2025-01-10
2025-01-11,72.64,75.0629,1.033358756,0.0,,binggan,2025-01-11
2025-01-12,72.64,75.0629,1.033358756,0.0,,binggan,2025-01-12
2025-01-13,72.64,75.0629,1.033358756,0.0,,binggan,2025-01-13
2025-01-14,72.64,75.0629,1.033358756,0.0,,binggan,2025-01-14
2025-01-15,72.64,75.0629,1.033358756,0.0,,binggan,2025-01-15
2025-01-16,72.64,75.0629,1.033358756,0.0,,binggan,2025-01-16
2025-01-17,72.64,75.0889,1.033716687,0.0,,binggan,2025-01-17
2025-01-18,72.64,75.0889,1.033716687,0.0,,binggan,2025-01-18
2025-01-19,72.64,75.0889,1.033716687,0.0,,binggan,2025-01-19
2025-01-20,72.64,75.0889,1.033716687,0.0,,binggan,2025-01-20
2025-01-21,72.64,75.0889,1.033716687,0.0,,binggan,2025-01-21
2025-01-22,72.64,75.0889,1.033716687,0.0,,binggan,2025-01-22
2025-01-23,72.64,75.0889,1.033716687,0.0,,binggan,2025-01-23
2025-01-24,72.64,75.1344,1.034343066,0.0,,binggan,2025-01-24
2025-01-25,72.64,75.1344,1.034343066,0.0,,binggan,2025-01-25
2025-01-26,72.64,75.1344,1.034343066,0.0,,binggan,2025-01-26
2025-01-27,72.64,75.1344,1.034343066,0.0,,binggan,2025-01-27
2025-01-28,72.64,75.1344,1.034343066,0.0,,binggan,2025-01-28
2025-01-29,72.64,75.1344,1.034343066,0.0,,binggan,2025-01-29
2025-01-30,72.64,75.1344,1.034343066,0.0,,binggan,2025-01-30
2025-01-31,72.64,75.1689,1.034818219,0.0,,binggan,2025-01-31
2025-02-01,72.64,75.1689,1.034818219,0.0,,binggan,2025-02-01
2025-02-02,72.64,75.1689,1.034818219,0.0,,binggan,2025-02-02
2025-02-03,72.64,75.1689,1.034818219,0.0,,binggan,2025-02-03
2025-02-04,72.64,75.1689,1.034818219,0.0,,binggan,2025-02-04
2025-02-05,72.64,75.1689,1.034818219,0.0,,binggan,2025-02-05
2025-02-06,72.64,75.1689,1.034818219,0.0,,binggan,2025-02-06
2025-02-07,72.64,75.2469,1.035892012,0.0,,binggan,2025-02-07
2025-02-08,72.64,75.2469,1.035892012,0.0,,binggan,2025-02-08
2025-02-09,72.64,75.2469,1.035892012,0.0,,binggan,2025-02-09
2025-02-10,72.64,75.2469,1.035892012,0.0,,binggan,2025-02-10
2025-02-11,72.64,75.2469,1.035892012,0.0,,binggan,2025-02-11
2025-02-12,72.64,75.2469,1.035892012,0.0,,binggan,2025-02-12
2025-02-13,72.64,75.2469,1.035892012,0.0,,binggan,2025-02-13
2025-02-14,72.64,75.2794,1.036339426,0.0,,binggan,2025-02-14
2025-02-15,72.64,75.2794,1.036339426,0.0,,binggan,2025-02-15
2025-02-16,72.64,75.2794,1.036339426,0.0,,binggan,2025-02-16
2025-02-17,72.64,75.2794,1.036339426,0.0,,binggan,2025-02-17
2025-02-18,72.64,75.2794,1.036339426,0.0,,binggan,2025-02-18
2025-02-19,72.64,75.2794,1.036339426,0.0,,binggan,2025-02-19
2025-02-20,72.64,75.2794,1.036339426,0.0,,binggan,2025-02-20
2025-02-21,72.64,75.3379,1.037144771,0.0,,binggan,2025-02-21
2025-02-22,72.64,75.3379,1.037144771,0.0,,binggan,2025-02-22
2025-02-23,72.64,75.3379,1.037144771,0.0,,binggan,2025-02-23
2025-02-24,72.64,75.3379,1.037144771,0.0,,binggan,2025-02-24
2025-02-25,72.64,75.3379,1.037144771,0.0,,binggan,2025-02-25
2025-02-26,72.64,75.3379,1.037144771,0.0,,binggan,2025-02-26
2025-02-27,72.64,75.3379,1.037144771,0.0,,binggan,2025-02-27
2025-02-28,72.64,75.3964,1.037950115,0.0,,binggan,2025-02-28
2025-03-01,72.64,75.3964,1.037950115,0.0,,binggan,2025-03-01
2025-03-02,72.64,75.3964,1.037950115,0.0,,binggan,2025-03-02
2025-03-03,72.64,75.3964,1.037950115,0.0,,binggan,2025-03-03
2025-03-04,72.64,75.3964,1.037950115,0.0,,binggan,2025-03-04
2025-03-05,72.64,75.3964,1.037950115,0.0,,binggan,2025-03-05
2025-03-06,72.64,75.3964,1.037950115,0.0,,binggan,2025-03-06
2025-03-07,72.64,75.4385,1.038529964,0.0,,binggan,2025-03-07
2025-03-08,72.64,75.4385,1.038529964,0.0,,binggan,2025-03-08
2025-03-09,72.64,75.4385,1.038529964,0.0,,binggan,2025-03-09
2025-03-10,72.64,75.4385,1.038529964,0.0,,binggan,2025-03-10
2025-03-11,72.64,75.4385,1.038529964,0.0,,binggan,2025-03-11
2025-03-12,72.64,75.4385,1.038529964,0.0,,binggan,2025-03-12
2025-03-13,72.64,75.4385,1.038529964,0.0,,binggan,2025-03-13
2025-03-14,72.64,75.484,1.039156343,0.0,,binggan,2025-03-14
2025-03-15,72.64,75.484,1.039156343,0.0,,binggan,2025-03-15
2025-03-16,72.64,75.484,1.039156343,0.0,,binggan,2025-03-16
2025-03-17,72.64,75.484,1.039156343,0.0,,binggan,2025-03-17
2025-03-18,72.64,75.484,1.039156343,0.0,,binggan,2025-03-18
2025-03-19,72.64,75.484,1.039156343,0.0,,binggan,2025-03-19
