date,model,navperunit
2025/12/4 16:00,deep-growth,1.130302852
2025/12/5 16:00,deep-growth,1.13173169
2025/12/6 16:00,deep-growth,1.130641682
2025/12/7 16:00,deep-growth,1.136034552
2025/12/8 16:00,deep-growth,1.141406596
2025/12/9 16:00,deep-growth,1.145137741
2025/12/10 16:00,deep-growth,1.145075668
2025/12/11 16:00,deep-growth,1.147684628
2025/12/12 16:00,deep-growth,1.153290031
2025/12/13 16:00,deep-growth,1.151722758
2025/12/14 16:00,deep-growth,1.15279907
2025/12/15 16:00,deep-growth,1.153386615
2025/12/16 16:00,deep-growth,1.148855125
2025/12/17 16:00,deep-growth,1.150089188
2025/12/18 16:00,deep-growth,1.151696078
2025/12/19 16:00,deep-growth,1.157522476
2025/12/20 16:00,deep-growth,1.158929914
2025/12/21 16:00,deep-growth,1.158934696
2025/12/22 16:00,deep-growth,1.161874553
2025/12/23 16:00,deep-growth,1.160116824
2025/12/24 16:00,deep-growth,1.160086822
2025/12/25 16:00,deep-growth,1.167791491
2025/12/26 16:00,deep-growth,1.169992998
2025/12/27 16:00,deep-growth,1.170789719
2025/12/28 16:00,deep-growth,1.167729129
2025/12/29 16:00,deep-growth,1.167334354
2025/12/30 16:00,deep-growth,1.169792878
2025/12/31 16:00,deep-growth,1.16890744
2026/1/1 16:00,deep-growth,1.176790425
2026/1/2 16:00,deep-growth,1.179294822
2026/1/3 16:00,deep-growth,1.178878598
2026/1/4 16:00,deep-growth,1.178278717
2026/1/5 16:00,deep-growth,1.169485095
2026/1/6 16:00,deep-growth,1.176230159
2026/1/7 16:00,deep-growth,1.182413081
2026/1/8 16:00,deep-growth,1.18955858
2026/1/9 16:00,deep-growth,1.190051834
2026/1/10 16:00,deep-growth,1.191880491
2026/1/11 16:00,deep-growth,1.19307451
2026/1/12 16:00,deep-growth,1.197972098
2026/1/13 16:00,deep-growth,1.198987062
2026/1/14 16:00,deep-growth,1.195476251
